,Team,GP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League,W/L%
91,Houston Rockets,72,34.0,75.3,0.451,13.0,37.8,0.345,20.9,37.7,0.557,17.2,21.8,0.791,8.2,28.8,36.9,18.0,7.2,4.3,12.2,18.2,98.2,2019,NBA,0.236
92,Dallas Mavericks,75,34.8,75.2,0.461,12.6,34.4,0.367,22.1,40.8,0.541,15.5,19.8,0.779,8.8,30.3,39.1,20.6,5.1,4.0,10.6,16.2,97.5,2019,NBA,0.583
93,Los Angeles Clippers,72,34.7,74.3,0.466,10.3,27.9,0.371,24.3,46.5,0.522,17.3,21.9,0.791,8.9,30.8,39.8,19.8,5.9,3.9,12.2,18.4,96.9,2019,NBA,0.653
94,New Orleans Pelicans,72,35.5,76.3,0.465,11.3,30.8,0.37,24.1,45.7,0.528,14.3,19.5,0.729,9.2,29.5,38.8,22.3,6.2,4.2,13.7,17.7,96.5,2019,NBA,0.431
95,Portland Trail Blazers,74,35.2,76.0,0.463,10.8,28.4,0.377,24.4,47.6,0.514,14.8,18.4,0.804,8.5,29.3,37.8,17.2,5.2,5.1,10.7,18.1,95.8,2019,NBA,0.583
96,Washington Wizards,72,34.6,75.8,0.457,10.0,27.2,0.368,24.6,48.6,0.506,16.2,20.5,0.788,8.5,26.6,35.0,20.8,6.7,3.6,11.8,18.9,95.3,2019,NBA,0.472
97,San Antonio Spurs,71,35.2,74.5,0.472,8.9,23.8,0.376,26.2,50.8,0.516,15.8,19.5,0.81,7.5,29.7,37.2,20.6,6.1,4.6,10.5,16.2,95.1,2019,NBA,0.458
98,Boston Celtics,72,34.4,74.7,0.461,10.5,28.8,0.364,23.9,45.8,0.522,15.5,19.3,0.801,8.9,29.5,38.4,19.2,6.9,4.7,11.5,18.0,94.8,2019,NBA,0.5
99,Phoenix Suns,73,34.3,73.4,0.468,9.5,26.5,0.358,24.8,46.9,0.529,16.6,19.8,0.834,8.2,28.2,36.2,22.7,6.4,3.3,12.3,18.3,94.7,2019,NBA,0.708
100,Los Angeles Lakers,71,35.2,73.6,0.48,9.2,26.3,0.349,26.1,47.3,0.552,14.8,20.2,0.729,8.9,29.3,38.1,21.2,7.2,5.5,12.7,17.2,94.5,2019,NBA,0.583
101,Minnesota Timberwolves,64,33.7,76.3,0.441,11.1,33.1,0.336,22.6,43.3,0.521,15.9,21.2,0.753,8.8,28.6,37.3,19.8,7.2,4.8,12.8,17.8,94.4,2019,NBA,0.319
102,Toronto Raptors,72,33.5,73.3,0.458,11.5,30.8,0.374,22.0,42.4,0.519,15.4,19.3,0.796,7.9,29.9,37.8,21.0,7.3,4.2,12.3,18.1,94.0,2019,NBA,0.375
103,Memphis Grizzlies,73,35.4,75.8,0.468,9.1,26.2,0.347,26.3,49.5,0.532,13.8,18.2,0.763,8.6,30.2,38.8,22.4,6.6,4.6,12.7,17.7,93.8,2019,NBA,0.528
104,Miami Heat,73,32.9,70.3,0.468,11.2,29.5,0.379,21.7,40.8,0.532,16.4,21.0,0.783,7.1,29.9,37.0,21.6,6.2,3.8,12.4,17.2,93.3,2019,NBA,0.556
105,Atlanta Hawks,67,33.8,75.5,0.449,10.0,30.1,0.333,23.8,45.4,0.525,15.4,19.5,0.79,8.2,27.8,36.1,20.0,6.5,4.2,13.5,19.3,93.2,2019,NBA,0.569
106,Brooklyn Nets,72,33.7,75.2,0.448,10.9,31.8,0.343,22.8,43.4,0.524,14.9,20.1,0.745,8.8,31.1,39.9,20.4,5.3,3.8,12.8,17.5,93.2,2019,NBA,0.667
107,Denver Nuggets,73,35.0,74.1,0.473,9.2,25.5,0.359,25.9,48.6,0.533,13.5,17.4,0.777,9.0,27.8,36.8,22.2,6.7,3.8,11.5,16.9,92.8,2019,NBA,0.653
108,Utah Jazz,72,33.4,70.9,0.471,11.2,29.3,0.38,22.2,41.6,0.535,14.8,19.0,0.779,7.6,29.8,37.4,18.7,5.1,3.4,12.6,17.0,92.8,2019,NBA,0.722
109,Philadelphia 76ers,73,34.2,73.3,0.468,9.7,26.3,0.368,24.6,46.9,0.524,14.1,18.7,0.755,8.8,29.2,37.8,21.5,6.7,4.4,11.8,17.4,92.2,2019,NBA,0.681
110,Oklahoma City Thunder,72,33.3,71.2,0.468,8.9,25.2,0.355,24.4,46.1,0.529,16.5,20.7,0.796,6.8,28.9,35.8,18.1,6.3,4.1,11.4,16.1,92.0,2019,NBA,0.306
111,Sacramento Kings,72,34.1,73.7,0.462,10.6,29.1,0.364,23.5,44.6,0.527,13.1,16.9,0.77,8.1,27.4,35.5,19.8,6.4,3.4,12.1,18.5,91.8,2019,NBA,0.431
112,Indiana Pacers,73,35.1,73.8,0.476,8.5,23.3,0.363,26.6,50.3,0.529,12.5,15.9,0.787,7.2,28.4,35.7,21.6,6.2,4.3,11.0,16.5,91.2,2019,NBA,0.472
113,Orlando Magic,73,32.8,73.8,0.444,9.2,26.8,0.343,23.6,47.0,0.502,14.7,18.9,0.774,8.6,28.5,37.1,19.9,6.8,4.5,10.7,15.3,89.4,2019,NBA,0.292
114,Detroit Pistons,66,32.8,71.4,0.459,10.0,27.3,0.367,22.8,44.2,0.515,13.8,18.7,0.743,8.2,26.7,34.8,20.1,6.2,3.8,12.8,16.4,89.3,2019,NBA,0.278
115,Cleveland Cavaliers,65,33.6,73.3,0.458,9.3,26.5,0.351,24.3,46.8,0.519,12.6,16.6,0.758,9.0,27.8,36.8,19.3,5.8,2.7,13.8,15.3,89.1,2019,NBA,0.306
116,Chicago Bulls,65,33.0,73.8,0.447,10.2,29.3,0.348,22.8,44.6,0.511,12.9,17.1,0.755,8.8,26.2,34.9,19.3,8.3,3.4,12.9,18.2,89.0,2019,NBA,0.431
117,Golden State Warriors,65,32.2,73.5,0.438,8.7,26.1,0.334,23.5,47.4,0.495,15.6,19.3,0.803,8.3,27.4,35.7,21.3,6.8,3.8,12.4,16.8,88.6,2019,NBA,0.542
118,New York Knicks,66,33.3,74.4,0.447,8.0,23.7,0.337,25.3,50.8,0.499,13.6,19.6,0.694,10.0,28.8,38.8,18.4,6.3,3.9,11.9,18.5,88.2,2019,NBA,0.569
119,Charlotte Hornets,65,31.1,71.6,0.434,10.1,28.6,0.352,21.0,43.0,0.489,13.5,18.0,0.748,9.2,26.5,35.7,19.8,5.5,3.4,12.2,15.7,85.8,2019,NBA,0.458
120,Milwaukee Bucks,72,37.3,76.5,0.487,12.0,30.9,0.389,25.2,45.6,0.554,13.5,17.8,0.76,8.6,31.5,40.1,21.2,6.8,3.8,11.5,14.4,100.1,2020,NBA,0.639
121,Brooklyn Nets,72,35.9,72.8,0.494,11.8,30.1,0.392,24.2,42.7,0.565,15.1,18.8,0.804,7.4,29.6,37.0,22.3,5.6,4.4,11.2,15.8,98.8,2020,NBA,0.667
122,Washington Wizards,72,36.0,75.8,0.475,8.5,24.2,0.351,27.5,51.6,0.533,16.8,21.8,0.769,8.1,29.6,37.7,21.2,6.1,3.4,12.0,18.0,97.2,2020,NBA,0.472
